VAZOES DIARIAS PARA CADA USINA (m3/s)
NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
088     SAOROQUE   1    10       F                286
088     SAOROQUE   1    11       F                310
089    GARIBALDI   1    05       F                 50
089    GARIBALDI   1    06       F                 52
089    GARIBALDI   1    07       F                 55
089    GARIBALDI   1    08       F                 58
089    GARIBALDI   1    09       F                 60
089    GARIBALDI   1    10       F                 63
089    GARIBALDI   1    11       F                 69
090  CAMPOSNOVOS   1    05       F                 27
090  CAMPOSNOVOS   1    06       F                 29
090  CAMPOSNOVOS   1    07       F                 30
090  CAMPOSNOVOS   1    08       F                 32
090  CAMPOSNOVOS   1    09       F                 33
090  CAMPOSNOVOS   1    10       F                 34
090  CAMPOSNOVOS   1    11       F                 37
091   MACHADINHO   1    05       F                132
091   MACHADINHO   1    06       F                135
091   MACHADINHO   1    07       F                148
091   MACHADINHO   1    08       F                154
091   MACHADINHO   1    09       F                160
091   MACHADINHO   1    10       F                164
091   MACHADINHO   1    11       F                193
092          ITA   1    05       F                268
092          ITA   1    06       F                282
092          ITA   1    07       F                293
092          ITA   1    08       F                299
092          ITA   1    09       F                307
092          ITA   1    10       F                335
092          ITA   1    11       F                368
093  PASSO.FUNDO   1    05       F                 71
093  PASSO.FUNDO   1    06       F                 76
093  PASSO.FUNDO   1    07       F                 77
093  PASSO.FUNDO   1    08       F                 80
093  PASSO.FUNDO   1    09       F                 85
093  PASSO.FUNDO   1    10       F                101
093  PASSO.FUNDO   1    11       F                101
094   MONJOLINHO   1    05       F                 50
094   MONJOLINHO   1    06       F                 54
094   MONJOLINHO   1    07       F                 55
094   MONJOLINHO   1    08       F                 57
094   MONJOLINHO   1    09       F                 60
094   MONJOLINHO   1    10       F                 71
094   MONJOLINHO   1    11       F                 72
103 FOZDOCHAPECO   1    05       F                136
103 FOZDOCHAPECO   1    06       F                138
103 FOZDOCHAPECO   1    07       F                142
103 FOZDOCHAPECO   1    08       F                142
103 FOZDOCHAPECO   1    09       F                144
103 FOZDOCHAPECO   1    10       F                150
103 FOZDOCHAPECO   1    11       F                160
095 QUEBRAQUEIXO   1    05       F                 50
095 QUEBRAQUEIXO   1    06       F                 52
095 QUEBRAQUEIXO   1    07       F                 53
095 QUEBRAQUEIXO   1    08       F                 54
095 QUEBRAQUEIXO   1    09       F                 56
095 QUEBRAQUEIXO   1    10       F                 59
095 QUEBRAQUEIXO   1    11       F                 64
101      SAOJOSE   1    05       F                144
101      SAOJOSE   1    06       F                144
101      SAOJOSE   1    07       F                146
101      SAOJOSE   1    08       F                150
101      SAOJOSE   1    09       F                158
101      SAOJOSE   1    10       F                169
101      SAOJOSE   1    11       F                187
102 PASSO.S.JOAO   1    05       F                  6
102 PASSO.S.JOAO   1    06       F                  6
102 PASSO.S.JOAO   1    07       F                  6
102 PASSO.S.JOAO   1    08       F                  6
102 PASSO.S.JOAO   1    09       F                  6
